Region,Oct-19,Jan-20,Apr-20,Jul-20,Oct-20,Jan-21,Apr-21,Jul-21,Oct-21,Jan-22,Apr-22,Jul-22,Oct-22,Jan-23,Apr-23,Jul-23,Oct-23
Bolton,26,28,31,31,24,18,21,24,24,24,26,26,27,35,30,36,45
Bury,20,20,24,24,17,17,17,17,22,23,22,23,26,40,29,28,27
Manchester,119,129,131,136,105,97,101,107,112,122,112,123,120,158,155,188,180
Oldham,35,38,44,44,32,31,31,33,33,34,36,42,45,52,56,66,68
Rochdale,30,29,36,36,33,26,25,22,27,31,33,34,34,39,36,44,50
Salford,91,89,95,90,74,74,73,76,76,75,74,79,81,96,105,116,116
Stockport,28,32,34,34,32,33,36,35,36,36,37,40,46,47,50,64,60
Tameside,20,22,25,26,19,22,22,25,25,23,24,25,31,29,30,34,33
Trafford,49,49,51,51,45,45,45,44,52,64,58,76,72,84,90,103,116
Wigan,28,29,35,37,31,32,40,42,40,41,38,39,40,39,47,82,81
Bolton,2,3,3,3,3,3,3,6,6,6,8,8,8,10,8,11,21
Bury,0,0,0,0,0,0,0,0,3,3,3,5,8,11,10,9,11
Manchester,14,13,13,14,10,10,13,15,15,17,19,25,25,48,46,62,60
Oldham,0,1,3,3,4,4,4,6,6,7,9,10,10,12,16,24,25
Rochdale,7,6,8,8,8,8,8,5,10,10,10,10,10,11,10,16,24
Salford,9,9,11,11,10,13,13,13,13,13,13,18,21,21,23,24,26
Stockport,3,7,9,9,14,15,16,16,16,16,16,18,21,25,27,35,34
Tameside,4,4,4,5,4,5,6,9,9,9,9,10,16,17,18,18,18
Trafford,1,1,1,1,2,2,2,2,10,11,11,29,32,38,39,47,48
Wigan,4,4,6,7,8,9,11,13,13,15,15,17,16,18,21,19,18
Bolton,9.1,9.8,10.9,10.8,8.3,6.3,7.3,8.3,8.3,8.3,9.0,9.0,9.4,11.8,10.1,12.2,15.2
Bury,10.5,10.5,12.6,12.6,8.9,8.9,8.9,8.9,11.5,12.1,11.5,12.1,13.6,20.6,15.0,14.4,13.9
Manchester,21.7,23.6,23.9,24.6,19.0,17.5,18.3,19.3,20.2,22.0,20.2,22.1,21.6,28.7,28.2,34.2,32.7
Oldham,14.9,16.1,18.7,18.6,13.5,13.1,13.1,13.9,13.9,14.3,15.1,17.7,18.9,21.5,23.1,27.3,28.1
Rochdale,13.6,13.2,16.4,16.2,14.8,11.7,11.2,9.8,12.1,13.9,14.8,15.2,15.2,17.4,16.1,19.6,22.3
Salford,35.8,35.0,37.3,34.8,28.6,28.6,28.2,28.9,28.9,28.6,28.2,30.1,30.8,35.5,38.8,42.8,42.8
Stockport,9.6,11.0,11.7,11.6,10.9,11.2,12.3,11.9,12.2,12.2,12.6,13.6,15.6,15.9,16.9,21.7,20.3
Tameside,8.9,9.8,11.1,11.5,8.4,9.7,9.7,11.0,11.0,10.1,10.6,11.0,13.6,12.5,13.0,14.7,14.3
Trafford,20.7,20.7,21.6,21.5,19.0,19.0,19.0,18.5,21.9,26.9,24.4,32.0,30.3,35.7,38.2,43.7,49.2
Wigan,8.6,8.9,10.7,11.3,9.4,9.7,12.2,12.7,12.1,12.4,11.5,11.8,12.1,11.8,14.3,24.9,24.6
Bolton,0.7,1.1,1.1,1.0,1.0,1.0,1.0,2.1,2.1,2.1,2.8,2.8,2.8,3.4,2.7,3.7,7.1
Bury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,2.6,4.2,5.7,5.2,4.6,5.7
Manchester,2.6,2.4,2.4,2.5,1.8,1.8,2.4,2.7,2.7,3.1,3.4,4.5,4.5,8.7,8.4,11.3,10.9
Oldham,0.0,0.4,1.3,1.3,1.7,1.7,1.7,2.5,2.5,2.9,3.8,4.2,4.2,5.0,6.6,9.9,10.3
Rochdale,3.2,2.7,3.6,3.6,3.6,3.6,3.6,2.2,4.5,4.5,4.5,4.5,4.5,4.9,4.5,7.1,10.7
Salford,3.5,3.5,4.3,4.2,3.9,5.0,5.0,4.9,4.9,4.9,4.9,6.9,8.0,7.8,8.5,8.9,9.6
Stockport,1.0,2.4,3.1,3.1,4.8,5.1,5.5,5.4,5.4,5.4,5.4,6.1,7.1,8.5,9.1,11.9,11.5
Tameside,1.8,1.8,1.8,2.2,1.8,2.2,2.6,4.0,4.0,4.0,4.0,4.4,7.0,7.4,7.8,7.8,7.8
Trafford,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,4.2,4.6,4.6,12.2,13.5,16.1,16.6,20.0,20.4
Wigan,1.2,1.2,1.8,2.1,2.4,2.7,3.3,3.9,3.9,4.5,4.5,5.1,4.8,5.5,6.4,5.8,5.5
